top - 11:16:45 up 43 min,  1 user,  load average: 0.50, 0.50, 0.4
Tasks: 366 total,   2 running, 364 sleeping,   0 stopped,   0 zom
%Cpu(s): 11.7 us,  3.6 sy,  0.0 ni, 84.7 id,  0.0 wa,  0.0 hi,  0
MiB Mem :   7943.5 total,   4115.8 free,   1437.1 used,   2390.6 
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6104.6 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM
   2070 spai5     20   0 1123.8g 166056  72744 R   0.0   2.0
   2080 spai5     20   0 1123.8g  98712  67584 S   0.0   1.2
   2107 spai5     20   0 1123.8g  98224  67584 S   0.0   1.2
   2135 spai5     20   0   11428   5504   3840 S   0.0   0.1
   2195 spai5     20   0   92904  39328  14336 S   0.0   0.5
   2224 spai5     20   0 1123.7g  75496  57600 S   0.0   0.9
   2257 spai5     20   0 4264104  19976   9984 S   0.0   0.2
   2299 spai5     20   0  494080  30724  23172 S   0.0   0.4
   2320 root       0 -20       0      0      0 I   0.0   0.0
   3067 root      20   0       0      0      0 I   0.0   0.0
   3095 root      20   0       0      0      0 I   0.0   0.0
   3349 spai5     20   0   11428   5504   3840 S   0.0   0.1
   3374 root      20   0       0      0      0 I   0.0   0.0
   4750 root       0 -20       0      0      0 I   0.0   0.0
   4751 root       0 -20       0      0      0 I   0.0   0.0
   5689 root      20   0       0      0      0 I   0.0   0.0
   5892 root      20   0       0      0      0 I   0.0   0.0
   5997 root      20   0       0      0      0 I   0.0   0.0
   7368 root      20   0       0      0      0 I   0.0   0.0
  13569 root      20   0       0      0      0 I   0.0   0.0
  15088 root      20   0       0      0      0 I   0.0   0.0
  15089 root      20   0       0      0      0 I   0.0   0.0
  15800 root      20   0  393812  31908  26148 S   0.0   0.4
  15801 root      20   0       0      0      0 I   0.0   0.0
  15811 root      20   0       0      0      0 I   0.0   0.0
  15814 root      20   0       0      0      0 I   0.0   0.0
  15986 root      20   0       0      0      0 I   0.0   0.0
  15988 root      20   0       0      0      0 I   0.0   0.0
  16053 spai5     20   0 3061676  60180  44420 S   0.0   0.7
  16075 root       0 -20       0      0      0 I   0.0   0.0
  16077 root       0 -20       0      0      0 I   0.0   0.0
  16127 root       0 -20       0      0      0 I   0.0   0.0
  16128 root       0 -20       0      0      0 I   0.0   0.0
  16162 root       0 -20       0      0      0 I   0.0   0.0
  16171 root      20   0       0      0      0 I   0.0   0.0
  16232 spai5     20   0   11428   5632   3968 S   0.0   0.1
  16448 spai5     20   0   13212   4224   3328 R   0.0   0.1

top - 11:16:48 up 43 min,  1 user,  load average: 0.70, 0.54, 0.4
Tasks: 369 total,   1 running, 368 sleeping,   0 stopped,   0 zom
%Cpu(s): 13.5 us,  7.4 sy,  0.0 ni, 77.7 id,  0.0 wa,  0.0 hi,  1
MiB Mem :   7943.5 total,   4113.5 free,   1434.3 used,   2395.7 
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6102.8 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM
   2034 spai5     20   0 1135.9g 286404 111944 S  51.0   3.5
   2070 spai5     20   0 1123.8g 165816  72744 S  22.8   2.0
   2195 spai5     20   0   86920  33396  14336 S  22.2   0.4
   1263 spai5     20   0 4556524 283796 124280 S  16.6   3.5
   1995 spai5     20   0   32.6g 138108 113408 S  14.6   1.7
   1759 spai5     20   0  263464  93848  64640 S  12.3   1.2
   1958 spai5     20   0 1124.0g 166084 118868 S   8.6   2.0
   2107 spai5     20   0 1123.8g  98608  67584 S   2.6   1.2
    137 root      20   0       0      0      0 I   0.7   0.0
     17 root      20   0       0      0      0 I   0.3   0.0
    437 root     -51   0       0      0      0 S   0.3   0.0
    612 systemd+  20   0   14836   6784   6016 S   0.3   0.1
    659 root      20   0  243660   8576   7424 S   0.3   0.1
   1561 spai5     20   0  311920   7936   7296 S   0.3   0.1
   1700 spai5     20   0  141124  37960  29248 S   0.3   0.5
   2081 spai5     20   0 1123.8g  85492  67200 S   0.3   1.1
   3095 root      20   0       0      0      0 I   0.3   0.0
  16448 spai5     20   0   13212   4224   3328 R   0.3   0.1
      1 root      20   0  166760  11360   8160 S   0.0   0.1
      2 root      20   0       0      0      0 S   0.0   0.0
      3 root       0 -20       0      0      0 I   0.0   0.0
      4 root       0 -20       0      0      0 I   0.0   0.0
      5 root       0 -20       0      0      0 I   0.0   0.0
      6 root       0 -20       0      0      0 I   0.0   0.0
     11 root      20   0       0      0      0 I   0.0   0.0
     12 root       0 -20       0      0      0 I   0.0   0.0
     13 root      20   0       0      0      0 I   0.0   0.0
     14 root      20   0       0      0      0 I   0.0   0.0
     15 root      20   0       0      0      0 I   0.0   0.0
     16 root      20   0       0      0      0 S   0.0   0.0
     18 root      rt   0       0      0      0 S   0.0   0.0
     19 root     -51   0       0      0      0 S   0.0   0.0
     20 root      20   0       0      0      0 S   0.0   0.0
     21 root      20   0       0      0      0 S   0.0   0.0
     22 root     -51   0       0      0      0 S   0.0   0.0
     23 root      rt   0       0      0      0 S   0.0   0.0
     24 root      20   0       0      0      0 S   0.0   0.0
     26 root       0 -20       0      0      0 I   0.0   0.0
     27 root      20   0       0      0      0 S   0.0   0.0
     28 root     -51   0       0      0      0 S   0.0   0.0
     29 root      rt   0       0      0      0 S   0.0   0.0
